,open,high,low,close,volume
2023-09-15 11:00:00+00:00,1.0656,1.06595,1.06529,1.06546,9465.41
2023-09-15 12:00:00+00:00,1.06547,1.06619,1.06451,1.06503,17769.42
2023-09-15 13:00:00+00:00,1.06504,1.06677,1.06496,1.06619,23805.75
2023-09-15 14:00:00+00:00,1.06624,1.06877,1.06618,1.06642,42503.58
2023-09-15 15:00:00+00:00,1.06641,1.06765,1.06618,1.06721,21459.23
2023-09-15 16:00:00+00:00,1.06724,1.06802,1.06702,1.06721,10687.5
2023-09-15 17:00:00+00:00,1.06722,1.06763,1.06682,1.06716,6571.04
2023-09-15 18:00:00+00:00,1.06717,1.06717,1.06606,1.06607,5637.22
2023-09-15 19:00:00+00:00,1.06606,1.06637,1.06596,1.06598,6048.43
2023-09-15 20:00:00+00:00,1.06598,1.06628,1.06561,1.06576,9034.03
2023-09-15 21:00:00+00:00,1.06576,1.06576,1.06576,1.06576,0.0
2023-09-15 22:00:00+00:00,1.06576,1.06576,1.06576,1.06576,0.0
2023-09-15 23:00:00+00:00,1.06576,1.06576,1.06576,1.06576,0.0
2023-09-18 00:00:00+00:00,1.0668,1.06718,1.06676,1.06715,4201.95
2023-09-18 01:00:00+00:00,1.06715,1.06736,1.06609,1.06624,8625.61
2023-09-18 02:00:00+00:00,1.06623,1.06682,1.06621,1.06653,6456.1
2023-09-18 03:00:00+00:00,1.06654,1.06686,1.06635,1.06641,3999.52
2023-09-18 04:00:00+00:00,1.06641,1.06692,1.06631,1.06687,3488.15
2023-09-18 05:00:00+00:00,1.0669,1.0673,1.06681,1.06687,4260.18
2023-09-18 06:00:00+00:00,1.0669,1.06777,1.06584,1.06584,12139.73
2023-09-18 07:00:00+00:00,1.06584,1.06658,1.06578,1.06621,11640.44
2023-09-18 08:00:00+00:00,1.06621,1.06655,1.06562,1.06639,9624.87
2023-09-18 09:00:00+00:00,1.06639,1.06741,1.0662,1.06728,8752.29
2023-09-18 10:00:00+00:00,1.06728,1.06747,1.0667,1.06678,7279.42
2023-09-18 11:00:00+00:00,1.06678,1.06703,1.06621,1.06631,7416.02
2023-09-18 12:00:00+00:00,1.06631,1.0669,1.0656,1.06569,13890.31
2023-09-18 13:00:00+00:00,1.06568,1.06715,1.06546,1.06621,17157.99
2023-09-18 14:00:00+00:00,1.06623,1.06755,1.06594,1.0675,15107.02
2023-09-18 15:00:00+00:00,1.0675,1.06986,1.06741,1.0694,15738.1
2023-09-18 16:00:00+00:00,1.0694,1.06953,1.06843,1.06921,13605.17
2023-09-18 17:00:00+00:00,1.06922,1.0698,1.06869,1.06869,6177.75
2023-09-18 18:00:00+00:00,1.06869,1.06874,1.06778,1.06782,6196.22
2023-09-18 19:00:00+00:00,1.06782,1.06868,1.06782,1.06866,7532.02
2023-09-18 20:00:00+00:00,1.06865,1.06922,1.06861,1.06913,3768.53
2023-09-18 21:00:00+00:00,1.06912,1.06936,1.0685,1.06918,1457.21
2023-09-18 22:00:00+00:00,1.06918,1.06927,1.06889,1.06912,1539.63
2023-09-18 23:00:00+00:00,1.06913,1.06937,1.06911,1.06919,2551.6
2023-09-19 00:00:00+00:00,1.06918,1.06965,1.06878,1.06884,5703.84
2023-09-19 01:00:00+00:00,1.06884,1.06894,1.06807,1.06836,5393.7
2023-09-19 02:00:00+00:00,1.06837,1.06876,1.06821,1.06845,3897.62
2023-09-19 03:00:00+00:00,1.06845,1.06856,1.06824,1.06826,3436.77
2023-09-19 04:00:00+00:00,1.06826,1.0685,1.06788,1.06801,3254.1
2023-09-19 05:00:00+00:00,1.06797,1.0682,1.06762,1.06795,5022.35
2023-09-19 06:00:00+00:00,1.06796,1.06837,1.06762,1.06785,10672.24
2023-09-19 07:00:00+00:00,1.06786,1.06952,1.0675,1.06942,14081.68
2023-09-19 08:00:00+00:00,1.06941,1.06942,1.06839,1.06865,11606.57
2023-09-19 09:00:00+00:00,1.06864,1.06907,1.06819,1.06889,7834.02
2023-09-19 10:00:00+00:00,1.06893,1.07095,1.06866,1.07004,10804.38
2023-09-19 11:00:00+00:00,1.07004,1.07097,1.06994,1.07087,10928.93
2023-09-19 12:00:00+00:00,1.07086,1.0718,1.06941,1.06996,21077.87
2023-09-19 13:00:00+00:00,1.06997,1.07013,1.0683,1.06916,22549.3
2023-09-19 14:00:00+00:00,1.06916,1.06935,1.06823,1.06895,13511.95
2023-09-19 15:00:00+00:00,1.06896,1.06928,1.068,1.06831,10913.8
2023-09-19 16:00:00+00:00,1.06831,1.06863,1.06783,1.06847,6222.0
2023-09-19 17:00:00+00:00,1.06847,1.06917,1.06821,1.06847,6032.67
2023-09-19 18:00:00+00:00,1.06846,1.06853,1.06771,1.06776,6884.27
2023-09-19 19:00:00+00:00,1.06772,1.0681,1.06761,1.06805,4912.01
2023-09-19 20:00:00+00:00,1.06806,1.06812,1.06785,1.06787,2337.92
2023-09-19 21:00:00+00:00,1.06785,1.06804,1.06746,1.06795,982.69
2023-09-19 22:00:00+00:00,1.06794,1.06828,1.06778,1.06819,1619.24
2023-09-19 23:00:00+00:00,1.0682,1.06834,1.06807,1.06813,3711.17
2023-09-20 00:00:00+00:00,1.06814,1.06859,1.06792,1.06847,5766.63
2023-09-20 01:00:00+00:00,1.06848,1.06874,1.068,1.06863,6579.77
2023-09-20 02:00:00+00:00,1.06863,1.06897,1.06826,1.06829,5285.51
2023-09-20 03:00:00+00:00,1.06828,1.06841,1.06781,1.06795,4642.36
2023-09-20 04:00:00+00:00,1.06794,1.06811,1.06782,1.06785,2735.49
2023-09-20 05:00:00+00:00,1.06785,1.06839,1.06783,1.06808,4461.36
2023-09-20 06:00:00+00:00,1.06808,1.06929,1.06729,1.06818,18597.68
2023-09-20 07:00:00+00:00,1.06817,1.0693,1.06752,1.06903,18740.46
2023-09-20 08:00:00+00:00,1.06904,1.06968,1.06897,1.06961,12133.61
2023-09-20 09:00:00+00:00,1.06962,1.06999,1.06932,1.06985,9296.07
2023-09-20 10:00:00+00:00,1.06987,1.07049,1.06986,1.07031,7524.61
2023-09-20 11:00:00+00:00,1.07031,1.07048,1.06971,1.07015,4927.0
2023-09-20 12:00:00+00:00,1.07014,1.07035,1.06921,1.06979,11017.77
2023-09-20 13:00:00+00:00,1.0698,1.07182,1.06971,1.07169,18327.86
2023-09-20 14:00:00+00:00,1.0717,1.07271,1.07129,1.07196,16702.82
2023-09-20 15:00:00+00:00,1.07195,1.07245,1.07135,1.07142,9827.33
2023-09-20 16:00:00+00:00,1.07142,1.07368,1.07137,1.07351,9349.15
2023-09-20 17:00:00+00:00,1.07352,1.07353,1.07244,1.07265,6742.03
2023-09-20 18:00:00+00:00,1.07265,1.07265,1.06739,1.06866,71476.95
2023-09-20 19:00:00+00:00,1.06866,1.06889,1.06579,1.06586,23255.38
2023-09-20 20:00:00+00:00,1.06587,1.06624,1.06501,1.06601,5236.64
2023-09-20 21:00:00+00:00,1.06598,1.06642,1.06566,1.06633,865.34
2023-09-20 22:00:00+00:00,1.06636,1.06643,1.06526,1.06551,3903.22
